rank,player_name,team,position,age,total_contract_value,total_contract_value_millions,year
1501,Keondre Coburn,TEN,DL/DT,,"$915,000",0.915,2024
1502,Tommy DeVito,NYG,QB,,"$915,000",0.915,2024
1503,Tyler Goodson,IND,RB,,"$915,000",0.915,2024
1504,Daniel Hardy,CHI,ED/DE,,"$915,000",0.915,2024
1505,Elijah Higgins,ARI,T,,"$915,000",0.915,2024
1506,Buddy Johnson,DAL,LB/OLB,,"$915,000",0.915,2024
1507,Anthony Johnson Jr.,NYG,CB,,"$915,000",0.915,2024
1508,Doug Kramer,CHI,C,,"$915,000",0.915,2024
1509,Lucas Krull,DEN,TE,,"$915,000",0.915,2024
1510,Isaiah Land,IND,ED/DE,,"$915,000",0.915,2024
1511,Kana’i Mauga,LV,LB/ILB,,"$915,000",0.915,2024
1512,Ryan McCollum,PIT,C,,"$915,000",0.915,2024
1513,Tristin McCollum,PHI,CB,,"$915,000",0.915,2024
1514,Ja’Quan McMillian,DEN,CB,,"$915,000",0.915,2024
1515,Bo Melton,GB,WR,,"$915,000",0.915,2024
1516,Jordan Meredith,LV,G,,"$915,000",0.915,2024
1517,Jeremiah Moon,PIT,ED/OLB,,"$915,000",0.915,2024
1518,Arron Mosby,GB,LB/OLB,,"$915,000",0.915,2024
1519,Bill Murray,CHI,G,,"$915,000",0.915,2024
1520,Trevor Nowaske,DET,LB/OLB,,"$915,000",0.915,2024
1521,Carter O'Donnell,ARI,T,,"$915,000",0.915,2024
1522,Segun Olubi,IND,LB/ILB,,"$915,000",0.915,2024
1523,Esezi Otomewo,JAX,ED/DE,,"$915,000",0.915,2024
1524,Jeremiah Pharms,NE,DL/DT,,"$915,000",0.915,2024
1525,LaBryan Ray,CAR,DL/DE,,"$915,000",0.915,2024
1526,Otis Reese,TEN,LB/ILB,,"$915,000",0.915,2024
1527,Andrew Rupcich,TEN,G,,"$915,000",0.915,2024
1528,Brady Russell,SEA,TE,,"$915,000",0.915,2024
1529,Ben Sims,GB,TE,,"$915,000",0.915,2024
1530,Drake Thomas,SEA,LB/ILB,,"$915,000",0.915,2024
1531,Juanyeh Thomas,DAL,S,,"$915,000",0.915,2024
1532,Jake Tonges,SF,TE,,"$915,000",0.915,2024
1533,Ben VanSumeren,PHI,LB/ILB,,"$915,000",0.915,2024
1534,Tyrus Wheat,DAL,ED/DE,,"$915,000",0.915,2024
1535,Daniel Whelan,GB,P,,"$915,000",0.915,2024
1536,Emanuel Wilson,GB,RB,,"$915,000",0.915,2024
1537,Marco Wilson,CIN,CB,,"$903,257",0.903257,2024
1538,Caedan Wallace,NE,RT,,"$900,173",0.900173,2024
1539,Jake Bates,DET,K,,"$895,000",0.895,2024
1540,Nehemiah Pritchett,SEA,CB,,"$889,768",0.889768,2024
1541,Tarheeb Still,LAC,CB,,"$888,930",0.88893,2024
1542,Cam Hart,LAC,CB,,"$885,982",0.885982,2024
1543,Sedrick Van Pran-Granger,BUF,C,,"$883,813",0.883813,2024
1544,Anthony Gould,IND,WR,,"$883,166",0.883166,2024
1545,Xavier Thomas,ARI,ED/DE,,"$882,656",0.882656,2024
1546,JD Bertrand,ATL,LB/ILB,,"$882,506",0.882506,2024
1547,Austin Booker,CHI,ED/DE,,"$882,285",0.882285,2024
1548,Kris Abrams-Draine,DEN,CB,,"$882,068",0.882068,2024
1549,Jarvis Brownlee Jr.,TEN,CB,,"$880,509",0.880509,2024
1550,Tommy Eichenberg,LV,LB/ILB,,"$879,428",0.879428,2024
1551,Josh Newton,CIN,CB,,"$879,319",0.879319,2024
1552,Naquan Jones,ARI,DL/DT,,"$879,167",0.879167,2024
1553,Shane Lemieux,NO,C,,"$879,165",0.879165,2024
1554,Spencer Rattler,NO,QB,,"$879,120",0.87912,2024
1555,Jaylon Carlies,IND,S,,"$879,060",0.87906,2024
1556,Josh Reynolds,JAX,WR,,"$878,610",0.87861,2024
1557,Deantre Prince,JAX,CB,,"$878,057",0.878057,2024
1558,Brennan Jackson,LAR,ED/OLB,,"$877,342",0.877342,2024
1559,Jeremiah Trotter Jr.,PHI,LB/ILB,,"$877,117",0.877117,2024
1560,Jamari Thrash,CLE,WR,,"$876,352",0.876352,2024
1561,Chau Smith-Wade,CAR,CB,,"$875,996",0.875996,2024
1562,Tyler Huntley,MIA,QB,,"$875,556",0.875556,2024
1563,Feleipe Franks,CAR,TE,,"$875,552",0.875552,2024
1564,Carlos Watkins,DAL,ED/DE,,"$875,552",0.875552,2024
1565,Mike Morris,SEA,ED/DE,,"$875,519",0.875519,2024
1566,Mohamed Kamara,MIA,LB/OLB,,"$875,218",0.875218,2024
1567,Hunter Nourzad,KC,C,,"$874,879",0.874879,2024
1568,Edefuan Ulofoshio,BUF,LB,,"$873,506",0.873506,2024
1569,Dominique Hampton,WAS,S,,"$873,321",0.873321,2024
1570,Jacob Monk,GB,C,,"$870,404",0.870404,2024
1571,Tyrone Tracy,NYG,RB,,"$866,588",0.866588,2024
1572,Cedric Gray,TEN,LB/ILB,,"$859,181",0.859181,2024
1573,Caelen Carson,DAL,CB,,"$858,569",0.858569,2024
1574,Isaiah Davis,NYJ,RB,,"$858,569",0.858569,2024
1575,Jaylan Ford,NO,LB/ILB,,"$858,569",0.858569,2024
1576,Trevor Keegan,PHI,G,,"$858,569",0.858569,2024
1577,Bub Means,NO,WR,,"$858,569",0.858569,2024
1578,Kitan Oladapo,GB,S,,"$858,569",0.858569,2024
1579,Javon Solomon,BUF,ED/DE,,"$858,569",0.858569,2024
1580,Qwan'tez Stiggers,NYJ,CB,,"$858,569",0.858569,2024
1581,Walter Rouse,MIN,LT,,"$851,648",0.851648,2024
1582,Sataoa Laumea,SEA,G,,"$849,129",0.849129,2024
1583,Marcellas Dial,NE,CB,,"$848,032",0.848032,2024
1584,Kimani Vidal,LAC,RB,,"$846,859",0.846859,2024
